89,104,88
124,140,123
43,59,58
59,43,44
141,158,157
141,140,124
140,141,157
44,30,45
19,8,20
7,8,19
30,31,45
146,129,130
105,104,89
104,103,88
55,70,54
69,70,86
70,69,54
217,228,216
201,200,185
186,201,185
226,214,227
238,226,227
170,186,185
170,171,186
200,184,185
129,113,130
43,29,44
30,29,17
29,30,44
140,139,123
172,156,157
156,140,157
156,139,140
125,141,124
173,172,157
158,173,157
204,217,216
217,204,205
8,9,20
9,8,0
12,11,3
12,13,24
18,7,19
18,30,17
31,18,19
18,31,30
31,46,45
106,107,123
107,124,123
231,219,220
219,207,220
73,89,88
72,73,88
71,72,88
71,70,55
56,71,55
229,228,217
201,215,200
215,214,200
214,215,227
246,245,236
238,237,226
237,225,226
225,237,236
237,246,236
212,197,198
222,209,210
222,223,234
223,222,210
85,69,86
99,100,116
114,131,130
113,114,130
100,117,116
134,117,118
66,51,67
51,52,67
53,52,38
69,53,54
173,187,172
188,173,189
202,188,189
188,187,173
204,203,189
203,202,189
203,204,216
1,9,0
36,23,24
23,12,24
35,23,36
23,35,22
11,23,22
23,11,12
33,48,47
21,33,20
9,21,20
27,16,28
16,27,15
13,25,24
4,12,3
4,13,12
13,4,5
32,31,19
32,19,20
33,32,20
32,33,47
32,46,31
46,32,47
125,109,126
90,107,106
59,75,58
75,74,58
75,90,74
178,177,162
195,209,194
209,195,210
131,147,130
147,146,130
218,217,205
218,229,217
209,208,194
207,208,220
42,55,41
42,56,55
71,57,72
57,71,56
87,71,88
103,87,88
70,87,86
71,87,70
102,87,103
87,102,86
120,103,104
135,134,118
134,135,151
152,135,136
135,152,151
241,240,231
213,212,198
213,214,226
213,225,212
225,213,226
166,165,149
165,166,181
244,249,234
241,242,247
247,242,248
223,235,234
245,235,236
244,235,245
235,244,234
211,197,212
211,223,210
170,154,171
83,66,67
115,132,131
115,99,116
132,115,116
114,115,131
101,85,86
102,101,86
101,102,118
85,101,100
101,117,100
117,101,118
132,133,149
133,132,116
133,117,134
117,133,116
50,65,49
50,35,36
35,50,49
65,50,66
50,51,66
51,50,36
52,68,67
85,68,69
53,68,52
68,53,69
11,2,3
1,10,9
10,11,22
10,21,9
21,10,22
10,2,11
2,10,1
34,35,49
35,34,22
48,34,49
34,48,33
21,34,33
34,21,22
40,55,54
40,27,28
55,40,41
40,28,41
25,26,38
27,26,15
37,36,24
52,37,38
37,51,36
51,37,52
37,25,38
25,37,24
109,110,126
107,108,124
108,125,124
108,109,125
109,108,92
48,63,47
111,110,94
145,146,162
146,145,129
145,128,129
90,91,107
75,91,90
91,108,107
108,91,92
165,180,164
180,165,181
165,148,149
148,132,149
132,148,131
148,165,164
147,148,164
148,147,131
163,178,162
146,163,162
147,163,146
163,147,164
229,230,239
218,230,229
230,240,239
240,230,231
230,218,219
230,219,231
222,221,209
221,208,209
208,221,220
193,178,194
193,207,192
177,193,192
178,193,177
193,208,207
208,193,194
206,218,205
207,206,192
206,207,219
218,206,219
206,191,192
191,206,205
204,190,205
190,204,189
191,190,175
190,191,205
176,177,192
176,191,175
191,176,192
142,125,126
141,142,158
125,142,141
142,159,158
120,137,136
155,137,138
154,137,155
119,102,103
102,119,118
120,119,103
119,120,136
135,119,136
119,135,118
183,168,184
152,168,151
183,199,198
214,199,200
199,184,200
199,183,184
213,199,214
199,213,198
197,182,198
182,183,198
182,197,181
166,182,181
249,243,234
242,243,248
225,224,212
235,224,236
224,225,236
224,235,223
211,224,223
224,211,212
82,65,66
65,82,81
83,82,66
150,166,149
150,134,151
150,133,134
133,150,149
84,83,67
84,85,100
99,84,100
83,84,99
84,68,85
68,84,67
14,6,15
26,14,15
14,13,5
6,14,5
14,25,13
14,26,25
39,53,38
53,39,54
39,40,54
40,39,27
39,26,27
26,39,38
60,44,45
60,59,44
93,78,94
93,109,92
77,93,92
93,77,78
93,110,109
110,93,94
78,79,94
65,64,49
64,48,49
64,65,81
64,63,48
112,96,113
128,112,129
112,113,129
111,112,128
127,111,128
110,127,126
111,127,110
195,196,210
197,196,181
196,211,210
211,196,197
180,196,195
196,180,181
178,179,194
179,180,195
179,195,194
180,179,164
163,179,178
179,163,164
232,231,220
221,232,220
232,241,231
232,242,241
173,174,189
174,173,158
159,174,158
174,159,175
190,174,175
174,190,189
159,160,175
160,176,175
121,122,138
137,121,138
105,121,104
122,121,105
121,120,104
121,137,120
153,152,136
137,153,136
153,154,170
153,137,154
96,97,113
97,96,81
97,114,113
82,97,81
168,167,151
182,167,183
167,168,183
167,182,166
150,167,166
167,150,151
91,76,92
76,75,59
76,77,92
76,91,75
76,60,77
60,76,59
77,61,78
46,61,45
61,60,45
60,61,77
96,80,81
80,79,63
64,80,63
80,64,81
233,221,222
233,222,234
233,232,221
232,233,242
243,233,234
233,243,242
161,145,162
177,161,162
176,161,177
160,161,176
142,143,159
143,142,126
127,143,126
143,160,159
168,169,184
169,170,185
184,169,185
169,168,152
153,169,152
169,153,170
98,83,99
115,98,99
98,115,114
98,82,83
98,97,82
97,98,114
62,79,78
62,46,47
63,62,47
79,62,63
61,62,78
62,61,46
79,95,94
95,111,94
112,95,96
95,112,111
80,95,79
95,80,96
161,144,145
145,144,128
144,127,128
144,161,160
143,144,160
144,143,127
